"from","to","year","ibd"
"Cam_2010_1","Cam_2010_2",2010,0.637790119559835
"Cam_2010_1","Cam_2010_3",2010,0.463359889964676
"Cam_2010_1","Cam_2010_4",2010,0.687069458824612
"Cam_2010_1","Cam_2010_5",2010,0.736154987976009
"Cam_2010_1","Cam_2010_6",2010,0.507301078716884
"Cam_2010_1","Cam_2010_7",2010,0.880135308282113
"Cam_2010_1","Cam_2010_8",2010,0.820960277094485
"Cam_2010_1","Cam_2010_9",2010,0.667946458131803
"Cam_2010_1","Cam_2010_10",2010,0.869050834425862
"Cam_2010_1","Cam_2010_11",2010,0.393027611438717
"Cam_2010_1","Cam_2010_12",2010,0.705098954708154
"Cam_2010_1","Cam_2010_13",2010,0.950417713015696
"Cam_2010_1","Cam_2010_14",2010,0.860942913181926
"Cam_2010_1","Cam_2010_15",2010,0.496018604584363
"Cam_2010_1","Cam_2010_16",2010,0.923064523911662
"Cam_2010_1","Cam_2010_17",2010,0.750917550669381
"Cam_2010_1","Cam_2010_18",2010,0.73241539055005
"Cam_2010_1","Cam_2010_19",2010,0.813470208766089
"Cam_2010_1","Cam_2010_20",2010,0.689247379021506
"Cam_2010_1","Tha_2010_1",2010,0.549146929882844
"Cam_2010_1","Tha_2010_2",2010,0.760191312875398
"Cam_2010_1","Tha_2010_3",2010,0.419907312526063
"Cam_2010_1","Tha_2010_4",2010,0.842435739311528
"Cam_2010_1","Tha_2010_5",2010,0.604561823384646
"Cam_2010_1","Tha_2010_6",2010,0.359253951792105
"Cam_2010_1","Tha_2010_7",2010,0.835366856504318
"Cam_2010_1","Tha_2010_8",2010,0.883454862202753
"Cam_2010_1","Tha_2010_9",2010,0.844608282683731
"Cam_2010_1","Tha_2010_10",2010,0.69454578062734
"Cam_2010_1","Tha_2010_11",2010,0.541632323471924
"Cam_2010_1","Tha_2010_12",2010,0.476376687995241
"Cam_2010_1","Tha_2010_13",2010,0.843150504762043
"Cam_2010_1","Tha_2010_14",2010,0.747866974471684
"Cam_2010_1","Tha_2010_15",2010,0.760509159313637
"Cam_2010_1","Tha_2010_16",2010,0.780653603062656
"Cam_2010_1","Tha_2010_17",2010,0.765547156346101
"Cam_2010_1","Tha_2010_18",2010,0.569515335794475
"Cam_2010_1","Tha_2010_19",2010,0.813405142299024
"Cam_2010_1","Tha_2010_20",2010,0.594650998799904
"Cam_2010_1","PNG_2010_1",2010,0.460708844333167
"Cam_2010_1","PNG_2010_2",2010,0.333667123833934
"Cam_2010_1","PNG_2010_3",2010,0.582643018470505
"Cam_2010_1","PNG_2010_4",2010,0.373596272745462
"Cam_2010_1","PNG_2010_5",2010,0.173043141568623
"Cam_2010_1","PNG_2010_6",2010,0.337031386733573
"Cam_2010_1","PNG_2010_7",2010,0.588775118780852
"Cam_2010_1","PNG_2010_8",2010,0.698907496100409
"Cam_2010_1","PNG_2010_9",2010,0.532949415806748
"Cam_2010_1","PNG_2010_10",2010,0.195938373570346
"Cam_2010_1","PNG_2010_11",2010,0.471607861757088
"Cam_2010_1","PNG_2010_12",2010,0.260774254731165
"Cam_2010_1","PNG_2010_13",2010,0.803306247849863
"Cam_2010_1","PNG_2010_14",2010,0.526470318997476
"Cam_2010_1","PNG_2010_15",2010,0.242935236844916
"Cam_2010_1","PNG_2010_16",2010,0.597973668403446
"Cam_2010_1","PNG_2010_17",2010,0.525941294332476
"Cam_2010_1","PNG_2010_18",2010,0.816023077712946
"Cam_2010_1","PNG_2010_19",2010,0.613286984990844
"Cam_2010_1","PNG_2010_20",2010,0.334058320163467
"Cam_2010_1","Gha_2010_5",2010,0.124451264893397
"Cam_2010_1","Gha_2010_8",2010,0.117814087499229
"Cam_2010_1","Gha_2010_14",2010,0.249097428645009
"Cam_2010_1","Gha_2010_15",2010,0.423137903057185
"Cam_2010_1","Bur_2010_2",2010,0.214663273855968
"Cam_2010_1","Bur_2010_4",2010,0.158925740697912
"Cam_2010_1","Bur_2010_5",2010,0.234587390307469
"Cam_2010_1","Bur_2010_6",2010,0.326063063230657
"Cam_2010_1","Bur_2010_7",2010,0.33629543317545
"Cam_2010_1","Bur_2010_9",2010,0.103524920379241
"Cam_2010_1","Bur_2010_13",2010,0.104551191440467
"Cam_2010_1","Bur_2010_14",2010,0.11541580238983
"Cam_2010_2","Cam_2010_3",2010,0.802077681427033
"Cam_2010_2","Cam_2010_4",2010,0.936777887451795
"Cam_2010_2","Cam_2010_5",2010,0.917122187255957
"Cam_2010_2","Cam_2010_6",2010,0.890218099787207
"Cam_2010_2","Cam_2010_7",2010,0.440622232514607
"Cam_2010_2","Cam_2010_8",2010,0.840130104639738
"Cam_2010_2","Cam_2010_9",2010,0.455944636439999
"Cam_2010_2","Cam_2010_10",2010,0.674980687596902
"Cam_2010_2","Cam_2010_11",2010,0.614042136518939
"Cam_2010_2","Cam_2010_12",2010,0.771743364869884
"Cam_2010_2","Cam_2010_13",2010,0.737066877893623
"Cam_2010_2","Cam_2010_14",2010,0.849759487081982
"Cam_2010_2","Cam_2010_15",2010,0.620636237245958
"Cam_2010_2","Cam_2010_16",2010,0.824708627250493
"Cam_2010_2","Cam_2010_17",2010,0.97111013406197
"Cam_2010_2","Cam_2010_18",2010,0.815285053330308
"Cam_2010_2","Cam_2010_19",2010,0.908060111791754
"Cam_2010_2","Cam_2010_20",2010,0.436992706288938
"Cam_2010_2","Tha_2010_1",2010,0.749692151472119
"Cam_2010_2","Tha_2010_2",2010,0.462198340953766
"Cam_2010_2","Tha_2010_3",2010,0.484565859108156
"Cam_2010_2","Tha_2010_4",2010,0.537646923946529
"Cam_2010_2","Tha_2010_5",2010,0.826817772265979
"Cam_2010_2","Tha_2010_6",2010,0.782086018374188
"Cam_2010_2","Tha_2010_7",2010,0.51490827031869
"Cam_2010_2","Tha_2010_8",2010,0.459895511095565
"Cam_2010_2","Tha_2010_9",2010,0.352425725058794
"Cam_2010_2","Tha_2010_10",2010,0.45156225271816
"Cam_2010_2","Tha_2010_11",2010,0.697203265234905
"Cam_2010_2","Tha_2010_12",2010,0.834284847112826
"Cam_2010_2","Tha_2010_13",2010,0.851133537558542
"Cam_2010_2","Tha_2010_14",2010,0.970648320150867
"Cam_2010_2","Tha_2010_15",2010,0.805013214457097
"Cam_2010_2","Tha_2010_16",2010,0.931290788483911
"Cam_2010_2","Tha_2010_17",2010,0.766600932712005
"Cam_2010_2","Tha_2010_18",2010,0.535792189629752
"Cam_2010_2","Tha_2010_19",2010,0.344902782641733
"Cam_2010_2","Tha_2010_20",2010,0.707756614334505
"Cam_2010_2","PNG_2010_1",2010,0.551575697417909
"Cam_2010_2","PNG_2010_2",2010,0.198431088906362
"Cam_2010_2","PNG_2010_3",2010,0.224307836765508
"Cam_2010_2","PNG_2010_4",2010,0.645687651035255
"Cam_2010_2","PNG_2010_5",2010,0.259698252831424
"Cam_2010_2","PNG_2010_6",2010,0.394297964269701
"Cam_2010_2","PNG_2010_7",2010,0.460972133528478
"Cam_2010_2","PNG_2010_8",2010,0.117882595871226
"Cam_2010_2","PNG_2010_9",2010,0.243007402834956
"Cam_2010_2","PNG_2010_10",2010,0.484724741070197
"Cam_2010_2","PNG_2010_11",2010,0.420108361289214
"Cam_2010_2","PNG_2010_12",2010,0.157396672481929
"Cam_2010_2","PNG_2010_13",2010,0.236450235236789
"Cam_2010_2","PNG_2010_14",2010,0.384218692021532
"Cam_2010_2","PNG_2010_15",2010,0.516894148797955
"Cam_2010_2","PNG_2010_16",2010,0.415115136020103
"Cam_2010_2","PNG_2010_17",2010,0.394422779196584
"Cam_2010_2","PNG_2010_18",2010,0.713899643173746
"Cam_2010_2","PNG_2010_19",2010,0.605604001879314
"Cam_2010_2","PNG_2010_20",2010,0.355200470170381
"Cam_2010_2","Gha_2010_1",2010,0.336940362350776
"Cam_2010_2","Gha_2010_2",2010,0.299846052865705
"Cam_2010_2","Gha_2010_4",2010,0.112831786752305
"Cam_2010_2","Gha_2010_6",2010,0.191059341316521
"Cam_2010_2","Gha_2010_10",2010,0.104818435637039
"Cam_2010_2","Gha_2010_13",2010,0.131894034856711
"Cam_2010_2","Gha_2010_17",2010,0.340424462532098
"Cam_2010_2","Bur_2010_2",2010,0.139884987775266
"Cam_2010_2","Bur_2010_4",2010,0.215561553757517
"Cam_2010_2","Bur_2010_9",2010,0.161132730349655
"Cam_2010_2","Bur_2010_10",2010,0.120107424350483
"Cam_2010_2","Bur_2010_12",2010,0.378587142931006
"Cam_2010_2","Bur_2010_17",2010,0.16892083031575
"Cam_2010_2","Bur_2010_19",2010,0.170157240744677
"Cam_2010_3","Cam_2010_4",2010,0.785377324076217
"Cam_2010_3","Cam_2010_5",2010,0.861960423291854
"Cam_2010_3","Cam_2010_6",2010,0.912126968583674
"Cam_2010_3","Cam_2010_7",2010,0.592397924561581
"Cam_2010_3","Cam_2010_8",2010,0.868435979667602
"Cam_2010_3","Cam_2010_9",2010,0.906320566907093
"Cam_2010_3","Cam_2010_10",2010,0.809058537772244
"Cam_2010_3","Cam_2010_11",2010,0.773229816960196
"Cam_2010_3","Cam_2010_12",2010,0.800590920173809
"Cam_2010_3","Cam_2010_13",2010,0.792419485000128
"Cam_2010_3","Cam_2010_14",2010,0.661616811911207
"Cam_2010_3","Cam_2010_15",2010,0.441370998820104
"Cam_2010_3","Cam_2010_16",2010,0.53304633584371
"Cam_2010_3","Cam_2010_17",2010,0.549977258911876
"Cam_2010_3","Cam_2010_18",2010,0.607100284270138
"Cam_2010_3","Cam_2010_19",2010,0.428115748532877
"Cam_2010_3","Cam_2010_20",2010,0.250365030007294
"Cam_2010_3","Tha_2010_1",2010,0.432125552664729
"Cam_2010_3","Tha_2010_2",2010,0.882275099004473
"Cam_2010_3","Tha_2010_3",2010,0.430909505376007
"Cam_2010_3","Tha_2010_4",2010,0.631388026472858
"Cam_2010_3","Tha_2010_5",2010,0.844136738365189
"Cam_2010_3","Tha_2010_6",2010,0.635408426736876
"Cam_2010_3","Tha_2010_7",2010,0.945943818154972
"Cam_2010_3","Tha_2010_8",2010,0.832996986338009
"Cam_2010_3","Tha_2010_9",2010,0.785430468865248
"Cam_2010_3","Tha_2010_10",2010,0.358127906745873
"Cam_2010_3","Tha_2010_11",2010,0.773613601461663
"Cam_2010_3","Tha_2010_12",2010,0.675467131685469
"Cam_2010_3","Tha_2010_13",2010,0.650361229925018
"Cam_2010_3","Tha_2010_14",2010,0.811359821419567
"Cam_2010_3","Tha_2010_15",2010,0.960868503368242
"Cam_2010_3","Tha_2010_16",2010,0.808915040157579
"Cam_2010_3","Tha_2010_17",2010,0.591748547536401
"Cam_2010_3","Tha_2010_18",2010,0.824430593581761
"Cam_2010_3","Tha_2010_19",2010,0.556801873808353
"Cam_2010_3","Tha_2010_20",2010,0.562249388181079
"Cam_2010_3","PNG_2010_1",2010,0.538572764632467
"Cam_2010_3","PNG_2010_2",2010,0.70496460843443
"Cam_2010_3","PNG_2010_3",2010,0.618647286543397
"Cam_2010_3","PNG_2010_4",2010,0.552898607221889
"Cam_2010_3","PNG_2010_5",2010,0.583711826938537
"Cam_2010_3","PNG_2010_6",2010,0.397610392759376
"Cam_2010_3","PNG_2010_7",2010,0.310811012075877
"Cam_2010_3","PNG_2010_8",2010,0.379618520717372
"Cam_2010_3","PNG_2010_9",2010,0.230215027989047
"Cam_2010_3","PNG_2010_11",2010,0.288822432308069
"Cam_2010_3","PNG_2010_12",2010,0.875866215759429
